,datetime,code,high,low,close,volume
0,2022-05-25 09:35,510300.OF,3.976,3.959,3.973,31752500
1,2022-05-25 09:40,510300.OF,3.974,3.965,3.968,19633800
2,2022-05-25 09:45,510300.OF,3.968,3.961,3.967,31024100
3,2022-05-25 09:50,510300.OF,3.975,3.962,3.974,21453401
4,2022-05-25 09:55,510300.OF,3.981,3.967,3.977,9367100
5,2022-05-25 10:00,510300.OF,3.98,3.973,3.976,7453300
6,2022-05-25 10:05,510300.OF,3.976,3.971,3.975,7371300
7,2022-05-25 10:10,510300.OF,3.975,3.968,3.97,4628400
8,2022-05-25 10:15,510300.OF,3.973,3.967,3.967,9678000
9,2022-05-25 10:20,510300.OF,3.967,3.962,3.963,10792293
10,2022-05-25 10:25,510300.OF,3.967,3.962,3.965,8681207
11,2022-05-25 10:30,510300.OF,3.966,3.957,3.958,12362200
12,2022-05-25 10:35,510300.OF,3.96,3.953,3.954,10235600
13,2022-05-25 10:40,510300.OF,3.959,3.955,3.957,16625900
14,2022-05-25 10:45,510300.OF,3.958,3.949,3.952,24539000
15,2022-05-25 10:50,510300.OF,3.96,3.949,3.956,15825000
16,2022-05-25 10:55,510300.OF,3.96,3.955,3.955,10581700
17,2022-05-25 11:00,510300.OF,3.958,3.951,3.952,12380600
18,2022-05-25 11:05,510300.OF,3.956,3.948,3.952,16535200
19,2022-05-25 11:10,510300.OF,3.958,3.95,3.956,9047800
20,2022-05-25 11:15,510300.OF,3.968,3.956,3.968,4315700
21,2022-05-25 11:20,510300.OF,3.97,3.966,3.966,7844200
22,2022-05-25 11:25,510300.OF,3.967,3.961,3.962,7483300
23,2022-05-25 11:30,510300.OF,3.969,3.96,3.968,7858900
24,2022-05-25 13:05,510300.OF,3.977,3.968,3.969,11888500
25,2022-05-25 13:10,510300.OF,3.972,3.964,3.971,5741600
26,2022-05-25 13:15,510300.OF,3.972,3.967,3.969,5121400
27,2022-05-25 13:20,510300.OF,3.971,3.966,3.971,1866600
28,2022-05-25 13:25,510300.OF,3.971,3.964,3.964,4315800
29,2022-05-25 13:30,510300.OF,3.965,3.959,3.96,4763484
30,2022-05-25 13:35,510300.OF,3.963,3.959,3.962,4119200
31,2022-05-25 13:40,510300.OF,3.962,3.958,3.958,4092000
32,2022-05-25 13:45,510300.OF,3.962,3.958,3.962,4542700
33,2022-05-25 13:50,510300.OF,3.964,3.96,3.961,2377800
34,2022-05-25 13:55,510300.OF,3.966,3.961,3.965,5432800
35,2022-05-25 14:00,510300.OF,3.97,3.963,3.969,4072300
36,2022-05-25 14:05,510300.OF,3.975,3.967,3.974,7117400
37,2022-05-25 14:10,510300.OF,3.974,3.969,3.97,5731200
38,2022-05-25 14:15,510300.OF,3.972,3.968,3.97,3921600
39,2022-05-25 14:20,510300.OF,3.971,3.961,3.961,5085700
40,2022-05-25 14:25,510300.OF,3.965,3.959,3.959,4894200
41,2022-05-25 14:30,510300.OF,3.963,3.959,3.962,4070700
42,2022-05-25 14:35,510300.OF,3.965,3.962,3.964,4277300
43,2022-05-25 14:40,510300.OF,3.968,3.963,3.967,5796900
44,2022-05-25 14:45,510300.OF,3.97,3.965,3.968,6172900
45,2022-05-25 14:50,510300.OF,3.974,3.967,3.974,11578100
46,2022-05-25 14:55,510300.OF,3.98,3.973,3.98,12468212
47,2022-05-25 15:00,510300.OF,3.984,3.979,3.982,10765200
48,2022-05-26 09:35,510300.OF,3.987,3.968,3.977,49163400
49,2022-05-26 09:40,510300.OF,3.977,3.955,3.956,43084312
50,2022-05-26 09:45,510300.OF,3.96,3.953,3.957,26824100
51,2022-05-26 09:50,510300.OF,3.962,3.947,3.948,24742700
52,2022-05-26 09:55,510300.OF,3.952,3.942,3.949,14870300
53,2022-05-26 10:00,510300.OF,3.948,3.932,3.937,22966400
54,2022-05-26 10:05,510300.OF,3.942,3.934,3.935,17723000
55,2022-05-26 10:10,510300.OF,3.945,3.935,3.944,18135455
56,2022-05-26 10:15,510300.OF,3.946,3.94,3.944,17847700
57,2022-05-26 10:20,510300.OF,3.962,3.943,3.961,11872301
58,2022-05-26 10:25,510300.OF,3.962,3.957,3.961,7133700
59,2022-05-26 10:30,510300.OF,3.97,3.962,3.967,8915500
60,2022-05-26 10:35,510300.OF,3.987,3.965,3.985,11253000
61,2022-05-26 10:40,510300.OF,3.987,3.975,3.975,6468100
62,2022-05-26 10:45,510300.OF,3.976,3.97,3.971,3770300
63,2022-05-26 10:50,510300.OF,3.975,3.968,3.969,1375700
64,2022-05-26 10:55,510300.OF,3.977,3.969,3.975,1318700
65,2022-05-26 11:00,510300.OF,3.981,3.972,3.973,2652400
66,2022-05-26 11:05,510300.OF,3.974,3.968,3.974,1708300
67,2022-05-26 11:10,510300.OF,3.974,3.964,3.964,2405900
68,2022-05-26 11:15,510300.OF,3.969,3.964,3.965,1758000
69,2022-05-26 11:20,510300.OF,3.971,3.965,3.971,806300
70,2022-05-26 11:25,510300.OF,3.994,3.971,3.99,14442700
71,2022-05-26 11:30,510300.OF,4.013,3.989,4.012,17811800
72,2022-05-26 13:05,510300.OF,4.02,4.009,4.013,23185400
73,2022-05-26 13:10,510300.OF,4.013,4.007,4.011,9073400
74,2022-05-26 13:15,510300.OF,4.015,4.003,4.003,4995900
75,2022-05-26 13:20,510300.OF,4.016,4.001,4.008,13497200
76,2022-05-26 13:25,510300.OF,4.008,4.002,4.005,2389800
77,2022-05-26 13:30,510300.OF,4.004,4.0,4.002,3015900
78,2022-05-26 13:35,510300.OF,4.012,4.002,4.01,4792400
79,2022-05-26 13:40,510300.OF,4.016,4.005,4.005,10627700
80,2022-05-26 13:45,510300.OF,4.006,4.001,4.005,4214691
81,2022-05-26 13:50,510300.OF,4.008,4.002,4.003,3280700
82,2022-05-26 13:55,510300.OF,4.002,3.991,3.993,6634600
