,time,code,open,high,low,close,volume,option_code,type,maturity_date,strike,strike price,time_to_mature,date,spot price,black vol,sabr vol,delta,vega,theta,gamma,riskfree rate
0,2022-07-20 09:35:00,10004306.SH,0.0755,0.078,0.0698,0.0731,15191.0,510300C2207M04300,C,2022-07-27 15:30:00,4.3,4.3,0.03191666666666667,2022-07-20,4.344,0.14293863675327462,0.1559405164928309,0.6134547116953826,0.2815122543964321,0.02313433178358082,3.254729818991109,-0.008291449898328453
1,2022-07-20 09:35:00,10004307.SH,0.0249,0.0264,0.023,0.0244,14510.0,510300C2207M04400,C,2022-07-27 15:30:00,4.4,4.4,0.03191666666666667,2022-07-20,4.344,0.14514082163127542,0.15120775030183392,0.2896247773831462,0.2747376820488867,0.02227486106676224,2.7993163342898697,-0.008291449898328453
2,2022-07-20 09:35:00,10004314.SH,0.0089,0.0094,0.0074,0.0085,9373.0,510300P2207M04200,P,2022-07-27 15:30:00,4.2,4.2,0.03191666666666667,2022-07-20,4.344,0.17304037095319613,0.16768366813999583,-0.14579207879839018,0.15159505029060938,0.013774165197322219,1.9154677843857826,-0.008291449898328453
3,2022-07-20 09:35:00,10004315.SH,0.0307,0.031,0.0264,0.0293,11354.0,510300P2207M04300,P,2022-07-27 15:30:00,4.3,4.3,0.03191666666666667,2022-07-20,4.344,0.163114599642126,0.1559405164928309,-0.3865452882223508,0.28151225450745443,0.023134331561536214,3.255173908200959,-0.008291449898328453
4,2022-07-20 09:35:00,10004316.SH,0.0804,0.0831,0.0741,0.08,7546.0,510300P2207M04400,P,2022-07-27 15:30:00,4.4,4.4,0.03191666666666667,2022-07-20,4.344,0.1634225916824437,0.15120775030183392,-0.7103752224235649,0.2747376819378644,0.02227486106676224,2.7990942896849447,-0.008291449898328453
5,2022-07-20 09:35:00,10004319.SH,0.0062,0.007,0.0051,0.0057,3155.0,510300C2207M04500,C,2022-07-27 15:30:00,4.5,4.5,0.03191666666666667,2022-07-20,4.344,0.14959968507876747,0.15444340252825248,0.087411675037119,0.1321296380640824,0.011650753500846989,1.1939893518331246,-0.008291449898328453
6,2022-07-20 09:35:00,10004320.SH,0.16,0.1654,0.1553,0.1614,2209.0,510300P2207M04500,P,2022-07-27 15:30:00,4.5,4.5,0.03191666666666667,2022-07-20,4.344,0.1829930799966029,0.15444340252825248,-0.9125883253524592,0.13212963856368276,0.011650753251046808,1.1937117960769683,-0.008291449898328453
7,2022-07-20 09:40:00,10004306.SH,0.0732,0.0789,0.07,0.0769,9909.0,510300C2207M04300,C,2022-07-27 15:30:00,4.3,4.3,0.03183333333333333,2022-07-20,4.349,0.14452276097743721,0.15473122126809144,0.6282942062174612,0.2741932665362157,0.02143695021494807,3.270717030545711,-0.00473344500146749
8,2022-07-20 09:40:00,10004307.SH,0.0245,0.0266,0.023,0.026,8916.0,510300C2207M04400,C,2022-07-27 15:30:00,4.4,4.4,0.03183333333333333,2022-07-20,4.349,0.14498120330175407,0.14888236323888424,0.29935828449456636,0.27918614531330377,0.0209343404833362,2.8845814625810817,-0.00473344500146749
9,2022-07-20 09:40:00,10004314.SH,0.0085,0.0096,0.0073,0.0077,5363.0,510300P2207M04200,P,2022-07-27 15:30:00,4.2,4.2,0.03183333333333333,2022-07-20,4.349,0.17200668712873765,0.16706881070974577,-0.13710674595657224,0.14240890550132335,0.012479150490740665,1.8707257964933888,-0.00473344500146749
