,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,1.0,1000000.0,0.0
2022-05-26-09:45,1.0027229407760383,1000192.0,0.0
2022-05-26-09:50,1.0027229407760383,1000160.8,0.0
2022-05-26-09:55,1.0027229407760383,1000160.8,0.0
2022-05-26-10:00,0.9834398072995761,1000010.8,0.019283133476462155
2022-05-26-10:05,0.9834398072995761,1000008.2000000001,0.019283133476462155
2022-05-26-10:10,0.9834398072995761,1000008.2000000001,0.019283133476462155
2022-05-26-10:15,0.9834398072995761,1000008.2000000001,0.019283133476462155
2022-05-26-10:20,0.9387582642412438,996500.7000000001,0.06396467653479454
2022-05-26-10:25,0.9294131593483446,995928.7000000001,0.07330978142769373
2022-05-26-10:30,0.900264897182402,994108.7000000001,0.1024580435936363
2022-05-26-10:35,0.8337813904400004,989688.7000000001,0.16894155033603786
2022-05-26-10:40,0.8756053760445959,992912.7000000001,0.16894155033603786
2022-05-26-10:45,0.8860470074454685,993640.7000000001,0.16894155033603786
2022-05-26-10:50,0.8898661755810093,993900.7000000001,0.16894155033603786
2022-05-26-10:55,0.8768366263332328,993426.7000000001,0.16894155033603786
2022-05-26-11:00,0.8778446317466416,993283.7000000001,0.16894155033603786
2022-05-26-11:05,0.8902809356395643,994185.9,0.16894155033603786
2022-05-26-11:10,0.9189753169409245,996617.9,0.16894155033603786
2022-05-26-11:15,0.9230023779266427,996937.9,0.16894155033603786
2022-05-26-11:20,0.8986273151292843,995017.9,0.16894155033603786
2022-05-26-11:25,0.8835609905587181,989686.1,0.16894155033603786
2022-05-26-11:30,0.7996786180373209,982006.1,0.20304432273871742
2022-05-26-13:05,0.7991008155676407,981942.1,0.20362212520839762
2022-05-26-13:10,0.7991008155676407,981942.1,0.20362212520839762
2022-05-26-13:15,0.8302570928533105,985398.1,0.20362212520839762
2022-05-26-13:20,0.8174636630586606,984106.1,0.20362212520839762
2022-05-26-13:25,0.8229153085484882,984342.5,0.20362212520839762
2022-05-26-13:30,0.8326828493027728,985361.3,0.20362212520839762
2022-05-26-13:35,0.8015711246999924,983282.7000000001,0.20362212520839762
2022-05-26-13:40,0.7994951252678114,982910.7000000001,0.20362212520839762
2022-05-26-13:45,0.8234390990705727,985534.7000000001,0.20362212520839762
2022-05-26-13:50,0.82118916865788,985186.7000000001,0.20362212520839762
2022-05-26-13:55,0.8544307092182438,988634.9,0.20362212520839762
2022-05-26-14:00,0.8504255652687833,988250.9,0.20362212520839762
2022-05-26-14:05,0.8676192392166746,989914.9,0.20362212520839762
2022-05-26-14:10,0.9379406996967962,993776.5,0.20362212520839762
2022-05-26-14:15,0.9427598029802962,994420.7,0.20362212520839762
2022-05-26-14:20,0.9254958893906885,992955.7,0.20362212520839762
2022-05-26-14:25,0.9148184955022239,992678.2,0.20362212520839762
2022-05-26-14:30,0.9091097997424598,992182.2,0.20362212520839762
2022-05-26-14:35,0.9503557992592803,994737.6,0.20362212520839762
2022-05-26-14:40,0.9401524874923697,993118.7999999999,0.20362212520839762
2022-05-26-14:45,0.9555186201812681,993397.2,0.20362212520839762
2022-05-26-14:50,0.9517626507623165,993087.2,0.20362212520839762
2022-05-26-14:55,0.9413580764111249,992708.2,0.20362212520839762
2022-05-26-15:00,0.9793991678402745,995355.2,0.20362212520839762
2022-05-27-09:35,0.7686324669210474,978677.2,0.23409047385499093
2022-05-27-09:40,0.7595242480898566,977561.2,0.24319869268618166
2022-05-27-09:45,0.7537137266763464,976565.2,0.2490092140996919
