,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,0.984673214421117,1003500.0,0.0
2022-05-26-09:45,0.9845240488947972,1003200.0,0.0001491655263198277
2022-05-26-09:50,0.9641601710055584,1002200.0,0.020513043415558596
2022-05-26-09:55,0.9494010806027867,1000100.0,0.035272133818330276
2022-05-26-10:00,0.9447253471711912,1001200.0,0.03994786724992583
2022-05-26-10:05,0.9407349167290381,1000700.0,0.04393829769207891
2022-05-26-10:10,0.9525087643485505,1001800.0,0.04393829769207891
2022-05-26-10:15,0.9587445009400304,1002600.0,0.04393829769207891
2022-05-26-10:20,0.9723568808386185,1002300.0,0.04393829769207891
2022-05-26-10:25,0.9641938604190986,1001300.0,0.04393829769207891
2022-05-26-10:30,0.9561979648639755,998800.0,0.04393829769207891
2022-05-26-10:35,0.964476278645045,995900.0,0.04393829769207891
2022-05-26-10:40,0.9566907385348101,998100.0,0.04393829769207891
2022-05-26-10:45,0.9482302879917179,998300.0,0.04393829769207891
2022-05-26-10:50,0.9454234871377305,998400.0,0.04393829769207891
2022-05-26-10:55,0.9553755018481429,998400.0,0.04393829769207891
2022-05-26-11:00,0.9512343164333736,997300.0,0.04393829769207891
2022-05-26-11:05,0.9584699141700228,998800.0,0.04393829769207891
2022-05-26-11:10,0.9484268495153707,999600.0,0.04393829769207891
2022-05-26-11:15,0.9569789401331831,1000600.0,0.04393829769207891
2022-05-26-11:20,0.9498445967424732,998400.0,0.04393829769207891
2022-05-26-11:25,0.9664305168210445,995700.0,0.04393829769207891
2022-05-26-11:30,0.979467529164689,991200.0,0.04393829769207891
2022-05-26-13:05,0.9703425752605054,989500.0,0.04393829769207891
2022-05-26-13:10,0.9666624993074839,989700.0,0.04393829769207891
2022-05-26-13:15,0.9657001884106724,992500.0,0.04393829769207891
2022-05-26-13:20,0.9642986396968009,991500.0,0.04393829769207891
2022-05-26-13:25,0.9537710356594826,990900.0,0.04393829769207891
2022-05-26-13:30,0.9486227250332706,991000.0,0.04393829769207891
2022-05-26-13:35,0.9654602493797779,990400.0,0.04393829769207891
2022-05-26-13:40,0.9642956850579871,992200.0,0.04393829769207891
2022-05-26-13:45,0.9543921813653403,991500.0,0.04393829769207891
2022-05-26-13:50,0.9614480428967058,992500.0,0.04393829769207891
2022-05-26-13:55,0.9575568751670883,995000.0,0.04393829769207891
2022-05-26-14:00,0.9578064940740137,994600.0,0.04393829769207891
2022-05-26-14:05,0.9705493776301124,998800.0,0.04393829769207891
2022-05-26-14:10,0.9509424808331302,996900.0,0.04393829769207891
2022-05-26-14:15,0.9610955467560653,997100.0,0.04393829769207891
2022-05-26-14:20,0.9777095691332712,998300.0,0.04393829769207891
2022-05-26-14:25,0.9625791450696776,996200.0,0.04393829769207891
2022-05-26-14:30,0.9706454916717395,996400.0,0.04393829769207891
2022-05-26-14:35,0.9307884519347265,992000.0,0.053884762486390514
2022-05-26-14:40,0.9616793648803742,996400.0,0.053884762486390514
2022-05-26-14:45,0.9704479628015836,997000.0,0.053884762486390514
2022-05-26-14:50,0.9633664996041409,995200.0,0.053884762486390514
2022-05-26-14:55,0.9627283999219536,996700.0,0.053884762486390514
2022-05-26-15:00,0.9639080380195838,997900.0,0.053884762486390514
2022-05-27-09:35,1.0162050740642572,987800.0,0.053884762486390514
2022-05-27-09:40,0.9930456467830714,984800.0,0.053884762486390514
