,cumulative_return,cumulative_capital,maxdd
2022-05-26-13:35,0.993435,993435.0,0.0
2022-05-26-13:40,0.9911145,991114.5,-0.0023204999999999476
2022-05-26-13:45,0.9926925,992692.5,-0.0023204999999999476
2022-05-26-13:50,0.9927164999999999,992716.5,-0.0023204999999999476
2022-05-26-13:55,0.9891544999999999,989154.5,-0.00428050000000002
2022-05-26-14:00,0.9905574999999999,990557.5,-0.00428050000000002
2022-05-26-14:05,0.9856034999999999,985603.5,-0.007831500000000102
2022-05-26-14:10,0.9885889999999998,988589.0,-0.007831500000000102
2022-05-26-14:15,0.9901989999999998,990199.0,-0.007831500000000102
2022-05-26-14:20,0.9906684999999997,990668.5,-0.007831500000000102
2022-05-26-14:25,0.9905229999999997,990523.0,-0.007831500000000102
2022-05-26-14:30,0.9908394999999998,990839.5,-0.007831500000000102
2022-05-26-14:35,0.9908814999999997,990881.5,-0.007831500000000102
2022-05-26-14:40,0.9913629999999998,991363.0,-0.007831500000000102
2022-05-26-14:45,0.9916044999999998,991604.5,-0.007831500000000102
2022-05-26-14:50,0.9915714999999998,991571.5,-0.007831500000000102
2022-05-26-14:55,0.9922259999999998,992226.0,-0.007831500000000102
2022-05-26-15:00,0.9921579999999999,992158.0,-0.007831500000000102
2022-05-27-09:35,1.0466339999999998,1046634.0,-0.007831500000000102
2022-05-27-09:40,1.0438884999999998,1043888.5,-0.007831500000000102
2022-05-27-09:45,1.0439979999999998,1043998.0,-0.007831500000000102
2022-05-27-09:50,1.0514954999999997,1051495.5,-0.007831500000000102
2022-05-27-09:55,1.0455014999999996,1045501.5,-0.007831500000000102
2022-05-27-10:00,1.0482439999999997,1048244.0,-0.007831500000000102
2022-05-27-10:05,1.0536589999999997,1053659.0,-0.007831500000000102
2022-05-27-10:10,1.0555134999999998,1055513.5,-0.007831500000000102
2022-05-27-10:15,1.0571094999999997,1057109.5,-0.007831500000000102
2022-05-27-10:20,1.0572094999999997,1057209.5,-0.007831500000000102
2022-05-27-10:25,1.0577124999999996,1057712.5,-0.007831500000000102
2022-05-27-10:30,1.0572119999999996,1057212.0,-0.007831500000000102
2022-05-27-10:35,1.0627749999999996,1062775.0,-0.007831500000000102
2022-05-27-10:40,1.0643909999999996,1064391.0,-0.007831500000000102
2022-05-27-10:45,1.0647104999999997,1064710.5,-0.007831500000000102
2022-05-27-10:50,1.0646654999999996,1064665.5,-0.007831500000000102
2022-05-27-10:55,1.0669694999999995,1066969.5,-0.007831500000000102
2022-05-27-11:00,1.0703959999999995,1070396.0,-0.007831500000000102
2022-05-27-11:05,1.0706594999999994,1070659.5,-0.007831500000000102
2022-05-27-11:10,1.0717689999999993,1071769.0,-0.007831500000000102
2022-05-27-11:15,1.0723584999999993,1072358.5,-0.007831500000000102
2022-05-27-11:20,1.0711784999999994,1071178.5,-0.007831500000000102
2022-05-27-11:25,1.0678919999999994,1067892.0,-0.007831500000000102
2022-05-27-11:30,1.0687359999999995,1068736.0,-0.007831500000000102
2022-05-27-13:05,1.0686214999999994,1068621.5,-0.007831500000000102
2022-05-27-13:10,1.0710619999999995,1071062.0,-0.007831500000000102
2022-05-27-13:15,1.0717939999999995,1071794.0,-0.007831500000000102
2022-05-27-13:20,1.0716919999999994,1071692.0,-0.007831500000000102
2022-05-27-13:25,1.0754694999999994,1075469.5,-0.007831500000000102
2022-05-27-13:30,1.0764884999999993,1076488.5,-0.007831500000000102
2022-05-27-13:35,1.0753474999999992,1075347.5,-0.007831500000000102
2022-05-27-13:40,1.0761544999999992,1076154.5,-0.007831500000000102
2022-05-27-13:45,1.0764159999999992,1076416.0,-0.007831500000000102
2022-05-27-13:50,1.0797624999999993,1079762.5,-0.007831500000000102
2022-05-27-13:55,1.0818179999999993,1081818.0,-0.007831500000000102
2022-05-27-14:00,1.0818404999999993,1081840.5,-0.007831500000000102
2022-05-27-14:05,1.0812074999999994,1081207.5,-0.007831500000000102
2022-05-27-14:10,1.0787894999999994,1078789.5,-0.007831500000000102
2022-05-27-14:15,1.0828774999999993,1082877.5,-0.007831500000000102
2022-05-27-14:20,1.0845599999999993,1084560.0,-0.007831500000000102
2022-05-27-14:25,1.0852734999999993,1085273.5,-0.007831500000000102
2022-05-27-14:30,1.0884399999999992,1088440.0,-0.007831500000000102
2022-05-27-14:35,1.089042999999999,1089043.0,-0.007831500000000102
2022-05-27-14:40,1.0881539999999992,1088154.0,-0.007831500000000102
2022-05-27-14:45,1.088469499999999,1088469.5,-0.007831500000000102
2022-05-27-14:50,1.0900509999999992,1090051.0,-0.007831500000000102
2022-05-27-14:55,1.0902964999999993,1090296.5,-0.007831500000000102
2022-05-27-15:00,1.0899744999999994,1089974.5,-0.007831500000000102
2022-05-30-09:35,1.1006849999999992,1100685.0,-0.007831500000000102
2022-05-30-09:40,1.1098019999999993,1109802.0,-0.007831500000000102
2022-05-30-09:45,1.1088089999999993,1108809.0,-0.007831500000000102
2022-05-30-09:50,1.1054094999999993,1105409.5,-0.007831500000000102
2022-05-30-09:55,1.0993444999999993,1099344.5,-0.010457500000000008
2022-05-30-10:00,1.1000149999999993,1100015.0,-0.010457500000000008
2022-05-30-10:05,1.1038309999999993,1103831.0,-0.010457500000000008
2022-05-30-10:10,1.1078989999999993,1107899.0,-0.010457500000000008
2022-05-30-10:15,1.1076069999999993,1107607.0,-0.010457500000000008
2022-05-30-10:20,1.1081754999999993,1108175.5,-0.010457500000000008
2022-05-30-10:25,1.1081394999999994,1108139.5,-0.010457500000000008
2022-05-30-10:30,1.1077974999999993,1107797.5,-0.010457500000000008
2022-05-30-10:35,1.1094864999999994,1109486.5,-0.010457500000000008
2022-05-30-10:40,1.1103014999999994,1110301.5,-0.010457500000000008
2022-05-30-10:45,1.1128189999999996,1112819.0,-0.010457500000000008
2022-05-30-10:50,1.1171154999999995,1117115.5,-0.010457500000000008
2022-05-30-10:55,1.1169804999999995,1116980.5,-0.010457500000000008
2022-05-30-11:00,1.1175354999999993,1117535.5,-0.010457500000000008
2022-05-30-11:05,1.1189779999999994,1118978.0,-0.010457500000000008
2022-05-30-11:10,1.1162994999999993,1116299.5,-0.010457500000000008
2022-05-30-11:15,1.1184079999999994,1118408.0,-0.010457500000000008
2022-05-30-11:20,1.1192439999999992,1119244.0,-0.010457500000000008
2022-05-30-11:25,1.1185519999999993,1118552.0,-0.010457500000000008
2022-05-30-11:30,1.1148609999999994,1114861.0,-0.010457500000000008
2022-05-30-13:05,1.1152989999999994,1115299.0,-0.010457500000000008
2022-05-30-13:10,1.1154624999999994,1115462.5,-0.010457500000000008
2022-05-30-13:15,1.1174174999999993,1117417.5,-0.010457500000000008
2022-05-30-13:20,1.1175799999999994,1117580.0,-0.010457500000000008
2022-05-30-13:25,1.1136559999999993,1113656.0,-0.010457500000000008
2022-05-30-13:30,1.1144609999999995,1114461.0,-0.010457500000000008
2022-05-30-13:35,1.1144299999999994,1114430.0,-0.010457500000000008
2022-05-30-13:40,1.1147799999999994,1114780.0,-0.010457500000000008
2022-05-30-13:45,1.1149934999999995,1114993.5,-0.010457500000000008
2022-05-30-13:50,1.1153784999999996,1115378.5,-0.010457500000000008
2022-05-30-13:55,1.1052669999999996,1105267.0,-0.013976999999999684
2022-05-30-14:00,1.1053274999999996,1105327.5,-0.013976999999999684
2022-05-30-14:05,1.1065769999999995,1106577.0,-0.013976999999999684
2022-05-30-14:10,1.1061639999999995,1106164.0,-0.013976999999999684
2022-05-30-14:15,1.1052904999999995,1105290.5,-0.013976999999999684
2022-05-30-14:20,1.1057339999999996,1105734.0,-0.013976999999999684
2022-05-30-14:25,1.1057924999999997,1105792.5,-0.013976999999999684
2022-05-30-14:30,1.1077459999999997,1107746.0,-0.013976999999999684
2022-05-30-14:35,1.1098424999999996,1109842.5,-0.013976999999999684
2022-05-30-14:40,1.1129774999999997,1112977.5,-0.013976999999999684
2022-05-30-14:45,1.1130189999999995,1113019.0,-0.013976999999999684
2022-05-30-14:50,1.1130214999999997,1113021.5,-0.013976999999999684
2022-05-30-14:55,1.1138624999999998,1113862.5,-0.013976999999999684
2022-05-30-15:00,1.1137464999999998,1113746.5,-0.013976999999999684
