,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,0.9211419,921141.8999999999,0.0
2022-05-26-09:45,0.9064136000000002,906413.6000000001,0.014728299999999805
2022-05-26-09:50,0.9493861000000001,949386.1000000001,0.014728299999999805
2022-05-26-09:55,0.9641486000000001,964148.6000000002,0.014728299999999805
2022-05-26-10:00,0.984654,984654.0000000001,0.014728299999999805
2022-05-26-10:05,0.9842516,984251.6000000001,0.014728299999999805
2022-05-26-10:10,0.9960215000000002,996021.5000000002,0.014728299999999805
2022-05-26-10:15,1.0125261000000003,1012526.1000000004,0.014728299999999805
2022-05-26-10:20,1.0235403000000005,1023540.3000000005,0.014728299999999805
2022-05-26-10:25,1.0168044000000005,1016804.4000000005,0.014728299999999805
2022-05-26-10:30,0.9866180000000007,986618.0000000006,0.03692229999999985
2022-05-26-10:35,0.9777244000000006,977724.4000000006,0.04581589999999991
2022-05-26-10:40,0.9974328000000007,997432.8000000006,0.04581589999999991
2022-05-26-10:45,1.0020488000000007,1002048.8000000006,0.04581589999999991
2022-05-26-10:50,1.0026865000000007,1002686.5000000006,0.04581589999999991
2022-05-26-10:55,0.9995059000000006,999505.9000000006,0.04581589999999991
2022-05-26-11:00,0.9993430000000005,999343.0000000006,0.04581589999999991
2022-05-26-11:05,1.0012380000000005,1001238.0000000006,0.04581589999999991
2022-05-26-11:10,1.0054458000000004,1005445.8000000006,0.04581589999999991
2022-05-26-11:15,1.0031891000000004,1003189.1000000007,0.04581589999999991
2022-05-26-11:20,1.0024332000000005,1002433.2000000007,0.04581589999999991
2022-05-26-11:25,0.9850908000000005,985090.8000000006,0.04581589999999991
2022-05-26-11:30,0.9642170000000005,964217.0000000007,0.05932329999999997
2022-05-26-13:05,0.9816671000000006,981667.1000000007,0.05932329999999997
2022-05-26-13:10,0.9836515000000006,983651.5000000007,0.05932329999999997
2022-05-26-13:15,0.9879545000000004,987954.5000000007,0.05932329999999997
2022-05-26-13:20,0.9938776000000004,993877.6000000007,0.05932329999999997
2022-05-26-13:25,1.0007689000000004,1000768.9000000007,0.05932329999999997
2022-05-26-13:30,1.0053043000000004,1005304.3000000007,0.05932329999999997
2022-05-26-13:35,1.0070786000000003,1007078.6000000007,0.05932329999999997
2022-05-26-13:40,1.0075053000000003,1007505.3000000007,0.05932329999999997
2022-05-26-13:45,1.0089147000000003,1008914.7000000008,0.05932329999999997
2022-05-26-13:50,1.0107489,1010748.9000000007,0.05932329999999997
2022-05-26-13:55,1.0189571000000002,1018957.1000000007,0.05932329999999997
2022-05-26-14:00,1.0181843000000002,1018184.3000000006,0.05932329999999997
2022-05-26-14:05,1.0215093000000002,1021509.3000000006,0.05932329999999997
2022-05-26-14:10,1.0300693,1030069.3000000006,0.05932329999999997
2022-05-26-14:15,1.0303457,1030345.7000000007,0.05932329999999997
2022-05-26-14:20,1.0275702,1027570.2000000007,0.05932329999999997
2022-05-26-14:25,1.0286879999999998,1028688.0000000007,0.05932329999999997
2022-05-26-14:30,1.0285809,1028580.9000000007,0.05932329999999997
2022-05-26-14:35,1.0307846999999999,1030784.7000000007,0.05932329999999997
2022-05-26-14:40,1.0264855999999998,1026485.6000000007,0.05932329999999997
2022-05-26-14:45,1.0247567999999998,1024756.8000000007,0.05932329999999997
2022-05-26-14:50,1.0256947999999997,1025694.8000000007,0.05932329999999997
2022-05-26-14:55,1.0266078999999997,1026607.9000000007,0.05932329999999997
2022-05-26-15:00,1.0284278999999998,1028427.9000000007,0.05932329999999997
2022-05-27-09:35,1.0031129999999997,1003113.0000000007,0.05932329999999997
2022-05-27-09:40,0.9996487999999998,999648.8000000007,0.05932329999999997
2022-05-27-09:45,1.0015530999999998,1001553.1000000008,0.05932329999999997
2022-05-27-09:50,1.0340746999999997,1034074.7000000008,0.05932329999999997
2022-05-27-09:55,1.0613583999999996,1061358.4000000008,0.05932329999999997
2022-05-27-10:00,1.0506280999999995,1050628.1000000008,0.05932329999999997
2022-05-27-10:05,1.0716226999999996,1071622.700000001,0.05932329999999997
2022-05-27-10:10,1.0597123999999998,1059712.400000001,0.05932329999999997
2022-05-27-10:15,1.0857028999999998,1085702.900000001,0.05932329999999997
2022-05-27-10:20,1.0863661,1086366.100000001,0.05932329999999997
2022-05-27-10:25,1.0862992,1086299.2000000011,0.05932329999999997
2022-05-27-10:30,1.0920079,1092007.900000001,0.05932329999999997
2022-05-27-10:35,1.0919403,1091940.300000001,0.05932329999999997
2022-05-27-10:40,1.0940280000000002,1094028.000000001,0.05932329999999997
2022-05-27-10:45,1.0984129000000002,1098412.9000000008,0.05932329999999997
2022-05-27-10:50,1.0945764000000002,1094576.4000000008,0.05932329999999997
2022-05-27-10:55,1.0975476000000002,1097547.6000000008,0.05932329999999997
2022-05-27-11:00,1.1020268000000002,1102026.8000000007,0.05932329999999997
2022-05-27-11:05,1.1002054000000003,1100205.4000000008,0.05932329999999997
2022-05-27-11:10,1.0981575000000003,1098157.500000001,0.05932329999999997
2022-05-27-11:15,1.1033126000000004,1103312.600000001,0.05932329999999997
2022-05-27-11:20,1.0937665000000003,1093766.500000001,0.05932329999999997
2022-05-27-11:25,1.0973164000000002,1097316.4000000008,0.05932329999999997
2022-05-27-11:30,1.0988113000000002,1098811.3000000007,0.05932329999999997
2022-05-27-13:05,1.0971187000000002,1097118.7000000007,0.05932329999999997
2022-05-27-13:10,1.0949339000000002,1094933.9000000006,0.05932329999999997
2022-05-27-13:15,1.0953172000000002,1095317.2000000007,0.05932329999999997
2022-05-27-13:20,1.0967418000000002,1096741.8000000005,0.05932329999999997
2022-05-27-13:25,1.1200747000000002,1120074.7000000004,0.05932329999999997
2022-05-27-13:30,1.1302333,1130233.3000000005,0.05932329999999997
2022-05-27-13:35,1.1365853,1136585.3000000005,0.05932329999999997
2022-05-27-13:40,1.1374539,1137453.9000000006,0.05932329999999997
2022-05-27-13:45,1.1385313,1138531.3000000005,0.05932329999999997
2022-05-27-13:50,1.1419386,1141938.6000000006,0.05932329999999997
2022-05-27-13:55,1.1402007,1140200.7000000007,0.05932329999999997
2022-05-27-14:00,1.1396053000000002,1139605.3000000007,0.05932329999999997
2022-05-27-14:05,1.1438473,1143847.3000000007,0.05932329999999997
2022-05-27-14:10,1.1470292,1147029.2000000007,0.05932329999999997
2022-05-27-14:15,1.1587064999999999,1158706.5000000007,0.05932329999999997
2022-05-27-14:20,1.1532548999999999,1153254.9000000006,0.05932329999999997
2022-05-27-14:25,1.1526546999999998,1152654.7000000007,0.05932329999999997
2022-05-27-14:30,1.1375120999999997,1137512.1000000006,0.05932329999999997
2022-05-27-14:35,1.1368795999999997,1136879.6000000006,0.05932329999999997
2022-05-27-14:40,1.1449217999999997,1144921.8000000005,0.05932329999999997
2022-05-27-14:45,1.1443874999999997,1144387.5000000005,0.05932329999999997
2022-05-27-14:50,1.1436093999999997,1143609.4000000004,0.05932329999999997
2022-05-27-14:55,1.1425227999999996,1142522.8000000003,0.05932329999999997
2022-05-27-15:00,1.1428962999999996,1142896.3000000003,0.05932329999999997
2022-05-30-09:35,1.1380569999999997,1138057.0000000005,0.05932329999999997
2022-05-30-09:40,1.1366547999999996,1136654.8000000005,0.05932329999999997
2022-05-30-09:45,1.1363267999999997,1136326.8000000005,0.05932329999999997
2022-05-30-09:50,1.1420126999999998,1142012.7000000004,0.05932329999999997
2022-05-30-09:55,1.1440858999999999,1144085.9000000004,0.05932329999999997
2022-05-30-10:00,1.1491497999999998,1149149.8000000003,0.05932329999999997
2022-05-30-10:05,1.1367441999999999,1136744.2000000002,0.05932329999999997
2022-05-30-10:10,1.1310474,1131047.4000000001,0.05932329999999997
2022-05-30-10:15,1.1300875,1130087.5000000002,0.05932329999999997
2022-05-30-10:20,1.1287663,1128766.3000000003,0.05932329999999997
