,cumulative_return,cumulative_capital,maxdd
2022-07-01-09:35,0.024047641505885595,1024047.6415058856,0.0
2022-07-01-09:40,0.006006091839654747,1005572.2351210706,-0.01804154966623085
2022-07-01-09:45,-0.005917078079681396,993582.6264955554,-0.02996471958556699
2022-07-01-09:50,0.001200124475313087,1000654.1553034476,-0.02996471958556699
2022-07-01-09:55,-0.006815921248384117,992632.8658409276,-0.030863562754269713
2022-07-01-10:00,-0.002536902745715861,996880.3602402175,-0.030863562754269713
2022-07-01-10:05,-0.010369078836893317,989072.6177169797,-0.034416720342778914
2022-07-01-10:10,-0.0019291193177557158,997420.3505719984,-0.034416720342778914
2022-07-01-10:15,-0.004898019852621215,994459.1087596994,-0.034416720342778914
2022-07-01-10:20,-0.004490945429739133,994863.9276274776,-0.034416720342778914
2022-07-01-10:25,-0.005598986221827284,993761.5778130892,-0.034416720342778914
2022-07-01-10:30,-0.003563617781876077,995784.2487654061,-0.034416720342778914
2022-07-01-10:35,-0.00018320925189655368,999150.406333952,-0.034416720342778914
2022-07-01-10:40,0.006750992484095752,1006078.7168160704,-0.034416720342778914
2022-07-01-10:45,0.0014856644216314106,1000781.3823153706,-0.034416720342778914
2022-07-01-10:50,0.010824194110187327,1010127.2089658767,-0.034416720342778914
2022-07-01-10:55,-0.0006605192107973692,998526.1875531772,-0.034416720342778914
2022-07-01-11:00,-0.002011634687357191,997177.0633674238,-0.034416720342778914
2022-07-01-11:05,0.0033223009630529363,1002495.9416554905,-0.034416720342778914
2022-07-01-11:10,0.001631614797368301,1000801.0356357786,-0.034416720342778914
2022-07-01-11:15,0.005902339827127355,1005075.1816684771,-0.034416720342778914
2022-07-01-11:20,-0.00016420588849150493,998977.8471312515,-0.034416720342778914
2022-07-01-11:25,-0.0032274827788572767,995917.701378147,-0.034416720342778914
2022-07-01-11:30,-0.005501801132148897,993652.6674715347,-0.034416720342778914
2022-07-01-13:05,0.0026870422489292823,1001789.5335406497,-0.034416720342778914
2022-07-01-13:10,-0.0012791587718620333,997816.2348701027,-0.034416720342778914
2022-07-01-13:15,-0.0017840385608455804,997312.4576199972,-0.034416720342778914
2022-07-01-13:20,-0.005351574744088634,993754.5093414389,-0.034416720342778914
2022-07-01-13:25,-0.006969440129016735,992146.7483196591,-0.034416720342778914
2022-07-01-13:30,-0.008208121850386947,990917.7942775987,-0.034416720342778914
2022-07-01-13:35,-0.011035301588456902,988116.2915675241,-0.0350829430943425
2022-07-01-13:40,-0.012635183763768314,986535.4219255104,-0.03668282526965391
2022-07-01-13:45,-0.015572781319625032,983637.3778812959,-0.03962042282551063
2022-07-01-13:50,-0.018891919905243387,980372.5491061136,-0.04293956141112898
2022-07-01-13:55,-0.015801938629407455,983401.8819261951,-0.04293956141112898
2022-07-01-14:00,-0.024364340267081994,974981.6000418981,-0.048411981772967586
2022-07-01-14:05,-0.023796181223382066,975535.5446554029,-0.048411981772967586
2022-07-01-14:10,-0.021202341543676256,978065.9274600935,-0.048411981772967586
2022-07-01-14:15,-0.028008183078495272,971409.3657471944,-0.052055824584380864
2022-07-01-14:20,-0.026522899101253834,972852.184513481,-0.052055824584380864
2022-07-01-14:25,-0.028017367080772158,971398.2880749211,-0.05206500858665775
2022-07-01-14:30,-0.029321195717471438,970131.7511692883,-0.05336883722335703
2022-07-01-14:35,-0.031224897580093423,968284.9095475986,-0.05527253908597902
2022-07-01-14:40,-0.030273418274838013,969206.2126006242,-0.05527253908597902
2022-07-01-14:45,-0.026514248692343003,972849.6231141976,-0.05527253908597902
2022-07-01-14:50,-0.03551220627606185,964095.9634700792,-0.05955984778194745
2022-07-01-14:55,-0.029096312424684453,970281.5008342447,-0.05955984778194745
2022-07-01-15:00,-0.03035442379479308,969060.778645839,-0.05955984778194745
2022-07-04-09:35,-0.014641417247419838,984287.6370055035,-0.05955984778194745
2022-07-04-09:40,-0.012546191876153842,986349.941435181,-0.05955984778194745
2022-07-04-09:45,-0.0025083028545931224,996250.8126837302,-0.05955984778194745
2022-07-04-09:50,-0.00032815560575492507,998422.7861521555,-0.05955984778194745
2022-07-04-09:55,-0.006384695785512028,992375.7984314399,-0.05955984778194745
2022-07-04-10:00,0.006544218435268909,1005206.1400041389,-0.05955984778194745
2022-07-04-10:05,0.006909334041399777,1005573.156453233,-0.05955984778194745
2022-07-04-10:10,0.018260173390872575,1016987.2558062759,-0.05955984778194745
2022-07-04-10:15,0.008079415350076216,1006633.5546243388,-0.05955984778194745
2022-07-04-10:20,0.019015947900869686,1017642.6352612089,-0.05955984778194745
2022-07-04-10:25,0.019549135749064694,1018185.2299481354,-0.05955984778194745
2022-07-04-10:30,0.015249156931663963,1013807.0550271681,-0.05955984778194745
2022-07-04-10:35,0.020216726522185615,1018843.2121243774,-0.05955984778194745
2022-07-04-10:40,0.01778141983095107,1016362.0164325719,-0.05955984778194745
2022-07-04-10:45,0.01579419756413672,1014342.2792023728,-0.05955984778194745
2022-07-04-10:50,0.012285433850319612,1010783.191819717,-0.05955984778194745
2022-07-04-10:55,0.012315318637563,1010813.3988603536,-0.05955984778194745
2022-07-04-11:00,0.01723060558582845,1015781.8367669036,-0.05955984778194745
2022-07-04-11:05,0.028494357452630917,1027223.3513270508,-0.05955984778194745
2022-07-04-11:10,0.022482473867438776,1021047.8041228817,-0.05955984778194745
