,cumulative_return,cumulative_capital,maxdd
2022-05-25-09:40,1.0,1000000.0,0.0
2022-05-25-09:45,0.9993396,999339.6,-0.0006604000000000054
2022-05-25-09:50,0.9959523,995952.2999999999,-0.004047699999999987
2022-05-25-09:55,0.9948893000000001,994889.2999999999,-0.0051106999999999125
2022-05-25-10:00,0.9964001,996400.0999999999,-0.0051106999999999125
2022-05-25-10:05,0.9959394,995939.3999999999,-0.0051106999999999125
2022-05-25-10:10,0.9987991,998799.0999999999,-0.0051106999999999125
2022-05-25-10:15,0.996747,996746.9999999998,-0.0051106999999999125
2022-05-25-10:20,0.9966779000000001,996677.8999999998,-0.0051106999999999125
2022-05-25-10:25,0.9965434000000002,996543.3999999998,-0.0051106999999999125
2022-05-25-10:30,0.9945248000000001,994524.7999999998,-0.005475199999999902
2022-05-25-10:35,0.9955041000000002,995504.0999999999,-0.005475199999999902
2022-05-25-10:40,0.9962699,996269.8999999998,-0.005475199999999902
2022-05-25-10:45,0.9966446000000001,996644.5999999999,-0.005475199999999902
2022-05-25-10:50,0.9937103000000002,993710.2999999999,-0.006289699999999843
2022-05-25-10:55,0.9965770000000002,996576.9999999999,-0.006289699999999843
2022-05-25-11:00,0.9959030000000002,995902.9999999999,-0.006289699999999843
2022-05-25-11:05,0.9946467000000001,994646.6999999998,-0.006289699999999843
2022-05-25-11:10,0.9969724000000001,996972.3999999999,-0.006289699999999843
2022-05-25-11:15,0.9948760999999999,994876.0999999999,-0.006289699999999843
2022-05-25-11:20,0.9956457999999999,995645.7999999999,-0.006289699999999843
2022-05-25-11:25,0.9936871999999999,993687.2,-0.006312800000000118
2022-05-25-11:30,0.9959865999999998,995986.6,-0.006312800000000118
2022-05-25-13:05,0.9954079999999997,995408.0,-0.006312800000000118
2022-05-25-13:10,0.9944488999999996,994448.8999999999,-0.006312800000000118
2022-05-25-13:15,0.9985697999999996,998569.7999999999,-0.006312800000000118
2022-05-25-13:20,0.9944564999999997,994456.5,-0.006312800000000118
2022-05-25-13:25,0.9916051999999997,991605.2,-0.008394800000000258
2022-05-25-13:30,0.9950036999999996,995003.7,-0.008394800000000258
2022-05-25-13:35,0.9943994999999997,994399.5,-0.008394800000000258
2022-05-25-13:40,0.9941468999999997,994146.9,-0.008394800000000258
2022-05-25-13:45,0.9944408999999998,994440.9,-0.008394800000000258
2022-05-25-13:50,0.9965998999999998,996599.8999999999,-0.008394800000000258
2022-05-25-13:55,0.9943218999999998,994321.8999999999,-0.008394800000000258
2022-05-25-14:00,0.9951465999999997,995146.5999999999,-0.008394800000000258
2022-05-25-14:05,0.9957665999999997,995766.5999999999,-0.008394800000000258
2022-05-25-14:10,0.9937425999999998,993742.6,-0.008394800000000258
2022-05-25-14:15,0.9932145999999998,993214.6,-0.008394800000000258
2022-05-25-14:20,0.9930056999999998,993005.7,-0.008394800000000258
2022-05-25-14:25,0.9919920999999997,991992.1,-0.008394800000000258
2022-05-25-14:30,0.9914982999999997,991498.3,-0.008501700000000278
2022-05-25-14:35,0.9950440999999997,995044.1,-0.008501700000000278
2022-05-25-14:40,0.9923275999999996,992327.6,-0.008501700000000278
2022-05-25-14:45,0.9950051999999997,995005.2,-0.008501700000000278
2022-05-25-14:50,0.9924724999999998,992472.5,-0.008501700000000278
2022-05-25-14:55,0.9932424999999997,993242.5,-0.008501700000000278
2022-05-25-15:00,0.9927372999999997,992737.3,-0.008501700000000278
2022-05-26-09:35,0.9887538999999997,988753.9,-0.011246100000000259
2022-05-26-09:40,0.9927158999999998,992715.9,-0.011246100000000259
2022-05-26-09:45,0.9902511999999997,990251.2,-0.011246100000000259
2022-05-26-09:50,0.9977111999999997,997711.2,-0.011246100000000259
2022-05-26-09:55,0.9928223999999998,992822.4,-0.011246100000000259
2022-05-26-10:00,1.0161429999999998,1016143.0000000001,-0.011246100000000259
2022-05-26-10:05,1.0039829999999998,1003983.0000000001,-0.012159999999999949
2022-05-26-10:10,0.9864113999999998,986411.4000000001,-0.02973159999999997
2022-05-26-10:15,0.9942449999999998,994245.0000000001,-0.02973159999999997
2022-05-26-10:20,0.9965756999999998,996575.7000000001,-0.02973159999999997
2022-05-26-10:25,1.0022408,1002240.8000000002,-0.02973159999999997
2022-05-26-10:30,0.9866095000000001,986609.5000000002,-0.02973159999999997
2022-05-26-10:35,0.9867268000000001,986726.8000000002,-0.02973159999999997
2022-05-26-10:40,1.0152535999999999,1015253.6000000001,-0.02973159999999997
2022-05-26-10:45,1.0113187999999997,1011318.8,-0.02973159999999997
2022-05-26-10:50,1.0063067999999997,1006306.7999999999,-0.02973159999999997
2022-05-26-10:55,0.9957009999999997,995700.9999999999,-0.02973159999999997
2022-05-26-11:00,0.9948481999999998,994848.2,-0.02973159999999997
2022-05-26-11:05,0.9919347999999999,991934.7999999999,-0.02973159999999997
2022-05-26-11:10,1.0018450999999997,1001845.0999999999,-0.02973159999999997
2022-05-26-11:15,0.9901156999999996,990115.6999999998,-0.02973159999999997
2022-05-26-11:20,1.0015718999999996,1001571.8999999999,-0.02973159999999997
2022-05-26-11:25,0.9914401999999995,991440.1999999998,-0.02973159999999997
2022-05-26-11:30,0.9993761999999996,999376.2,-0.02973159999999997
2022-05-26-13:05,0.9974839999999997,997484.0000000001,-0.02973159999999997
2022-05-26-13:10,0.9864354999999997,986435.5000000001,-0.02973159999999997
2022-05-26-13:15,0.9914322999999995,991432.3,-0.02973159999999997
2022-05-26-13:20,0.9854429999999996,985443.0000000001,-0.03070000000000017
2022-05-26-13:25,0.9809922999999997,980992.3000000002,-0.03515070000000009
2022-05-26-13:30,0.9796637999999996,979663.8,-0.036479200000000156
2022-05-26-13:35,0.9922612999999998,992261.3,-0.036479200000000156
2022-05-26-13:40,1.0032199999999998,1003220.0000000001,-0.036479200000000156
2022-05-26-13:45,1.0058806999999998,1005880.7000000002,-0.036479200000000156
2022-05-26-13:50,1.0010502,1001050.2000000002,-0.036479200000000156
2022-05-26-13:55,1.0101663,1010166.3000000003,-0.036479200000000156
2022-05-26-14:00,1.0015897,1001589.7000000003,-0.036479200000000156
2022-05-26-14:05,1.0064347,1006434.7000000003,-0.036479200000000156
2022-05-26-14:10,1.0033433999999999,1003343.4000000001,-0.036479200000000156
2022-05-26-14:15,0.9892328,989232.8000000002,-0.036479200000000156
2022-05-26-14:20,0.9975919,997591.9000000001,-0.036479200000000156
2022-05-26-14:25,0.9971205999999999,997120.6000000001,-0.036479200000000156
2022-05-26-14:30,0.9911479,991147.9000000001,-0.036479200000000156
2022-05-26-14:35,0.9902902,990290.2000000001,-0.036479200000000156
2022-05-26-14:40,0.9968317000000001,996831.7000000001,-0.036479200000000156
2022-05-26-14:45,0.9909568000000001,990956.8,-0.036479200000000156
2022-05-26-14:50,0.9918028,991802.8,-0.036479200000000156
2022-05-26-14:55,0.9919237,991923.7000000001,-0.036479200000000156
2022-05-26-15:00,0.9935088,993508.8,-0.036479200000000156
2022-05-27-09:35,0.9960376999999999,996037.7000000001,-0.036479200000000156
2022-05-27-09:40,1.00198,1001980.0000000002,-0.036479200000000156
2022-05-27-09:45,0.9889530000000002,988953.0000000003,-0.036479200000000156
2022-05-27-09:50,0.9903339000000003,990333.9000000005,-0.036479200000000156
2022-05-27-09:55,0.9811843000000002,981184.3000000004,-0.036479200000000156
2022-05-27-10:00,0.9847213000000001,984721.3000000003,-0.036479200000000156
2022-05-27-10:05,0.9943688000000002,994368.8000000003,-0.036479200000000156
2022-05-27-10:10,0.9758653000000003,975865.3000000004,-0.04027769999999953
2022-05-27-10:15,0.9787909000000001,978790.9000000003,-0.04027769999999953
2022-05-27-10:20,0.9795793,979579.3000000003,-0.04027769999999953
2022-05-27-10:25,0.9842099000000001,984209.9000000003,-0.04027769999999953
2022-05-27-10:30,0.9914708999999999,991470.9000000003,-0.04027769999999953
2022-05-27-10:35,0.9965928999999998,996592.9000000001,-0.04027769999999953
2022-05-27-10:40,0.9981503999999998,998150.4000000001,-0.04027769999999953
2022-05-27-10:45,1.0030323999999997,1003032.4000000001,-0.04027769999999953
2022-05-27-10:50,1.0067609999999996,1006761.0000000001,-0.04027769999999953
2022-05-27-10:55,1.0046287999999994,1004628.8,-0.04027769999999953
2022-05-27-11:00,0.9915947999999994,991594.8,-0.04027769999999953
2022-05-27-11:05,0.9924369999999993,992437.0000000001,-0.04027769999999953
2022-05-27-11:10,1.0042023999999994,1004202.4000000001,-0.04027769999999953
2022-05-27-11:15,0.9947603999999994,994760.4000000001,-0.04027769999999953
2022-05-27-11:20,0.9968188999999994,996818.9000000001,-0.04027769999999953
2022-05-27-11:25,0.9937340999999994,993734.1000000001,-0.04027769999999953
2022-05-27-11:30,1.0007482999999995,1000748.3000000002,-0.04027769999999953
2022-05-27-13:05,1.0008542999999994,1000854.3000000002,-0.04027769999999953
2022-05-27-13:10,0.9937022999999993,993702.3,-0.04027769999999953
2022-05-27-13:15,0.9935325999999992,993532.6000000001,-0.04027769999999953
2022-05-27-13:20,0.9931197999999992,993119.8,-0.04027769999999953
2022-05-27-13:25,0.996246299999999,996246.3,-0.04027769999999953
2022-05-27-13:30,0.992363399999999,992363.4000000001,-0.04027769999999953
2022-05-27-13:35,0.9866007999999991,986600.8000000002,-0.04027769999999953
2022-05-27-13:40,0.990632899999999,990632.9000000003,-0.04027769999999953
