,cumulative_return,cumulative_capital,maxdd
2022-05-25-09:40,1.0,1000000.0,0.0
2022-05-25-09:45,0.99935,999350.0,-0.0006500000000000394
2022-05-25-09:50,1.0022859999999998,1002286.0,-0.0006500000000000394
2022-05-25-09:55,1.004241,1004241.0,-0.0006500000000000394
2022-05-25-10:00,1.0020028,1002002.8,-0.002238199999999857
2022-05-25-10:05,1.0027206,1002720.6,-0.002238199999999857
2022-05-25-10:10,0.9996900999999999,999690.1,-0.004550900000000024
2022-05-25-10:15,1.0017638,1001763.8,-0.004550900000000024
2022-05-25-10:20,1.0018886999999999,1001888.7000000001,-0.004550900000000024
2022-05-25-10:25,1.0026101999999997,1002610.2000000001,-0.004550900000000024
2022-05-25-10:30,1.0028508999999997,1002850.9000000001,-0.004550900000000024
2022-05-25-10:35,1.0032029999999996,1003203.0000000001,-0.004550900000000024
2022-05-25-10:40,1.0031169999999998,1003117.0000000002,-0.004550900000000024
2022-05-25-10:45,1.0023656999999997,1002365.7000000002,-0.004550900000000024
2022-05-25-10:50,1.0054163999999997,1005416.4000000001,-0.004550900000000024
2022-05-25-10:55,1.0018663999999997,1001866.4000000003,-0.004550900000000024
2022-05-25-11:00,1.0032150999999996,1003215.1000000002,-0.004550900000000024
2022-05-25-11:05,1.0037110999999996,1003711.1000000002,-0.004550900000000024
2022-05-25-11:10,1.0014240999999997,1001424.1000000001,-0.004550900000000024
2022-05-25-11:15,1.0024001,1002400.1000000002,-0.004550900000000024
2022-05-25-11:20,0.9995780999999999,999578.1000000002,-0.005838299999999741
2022-05-25-11:25,1.0026595999999999,1002659.6000000002,-0.005838299999999741
2022-05-25-11:30,0.9998916999999999,999891.7000000002,-0.005838299999999741
2022-05-25-13:05,0.9978562,997856.2000000002,-0.007560199999999684
2022-05-25-13:10,1.0006377,1000637.7000000002,-0.007560199999999684
2022-05-25-13:15,0.9958817,995881.7000000002,-0.009534699999999674
2022-05-25-13:20,1.0015691,1001569.1000000002,-0.009534699999999674
2022-05-25-13:25,1.0032918,1003291.8000000003,-0.009534699999999674
2022-05-25-13:30,1.0013236,1001323.6000000003,-0.009534699999999674
2022-05-25-13:35,1.0014077,1001407.7000000003,-0.009534699999999674
2022-05-25-13:40,1.0004825,1000482.5000000003,-0.009534699999999674
2022-05-25-13:45,1.0014519,1001451.9000000004,-0.009534699999999674
2022-05-25-13:50,0.9986266,998626.6000000004,-0.009534699999999674
2022-05-25-13:55,1.0006473,1000647.3000000004,-0.009534699999999674
2022-05-25-14:00,0.9995113000000001,999511.3000000005,-0.009534699999999674
2022-05-25-14:05,0.9981700000000001,998170.0000000005,-0.009534699999999674
2022-05-25-14:10,0.9985611000000001,998561.1000000003,-0.009534699999999674
2022-05-25-14:15,0.9998053000000001,999805.3000000004,-0.009534699999999674
2022-05-25-14:20,0.9991333000000001,999133.3000000004,-0.009534699999999674
2022-05-25-14:25,1.0004571000000002,1000457.1000000004,-0.009534699999999674
2022-05-25-14:30,1.0002892,1000289.2000000004,-0.009534699999999674
2022-05-25-14:35,0.9956952000000002,995695.2000000004,-0.00972119999999943
2022-05-25-14:40,0.9979699000000004,997969.9000000005,-0.00972119999999943
2022-05-25-14:45,0.9950769000000004,995076.9000000005,-0.01033949999999928
2022-05-25-14:50,0.9978370000000003,997837.0000000005,-0.01033949999999928
2022-05-25-14:55,0.9962010000000003,996201.0000000005,-0.01033949999999928
2022-05-25-15:00,0.9958207000000003,995820.7000000004,-0.01033949999999928
2022-05-26-09:35,0.9983212000000004,998321.2000000004,-0.01033949999999928
2022-05-26-09:40,0.9982642000000004,998264.2000000004,-0.01033949999999928
2022-05-26-09:45,1.0000032000000003,1000003.2000000005,-0.01033949999999928
2022-05-26-09:50,0.9920320000000004,992032.0000000006,-0.013384399999999297
2022-05-26-09:55,0.9964759000000003,996475.9000000005,-0.013384399999999297
2022-05-26-10:00,0.9700622000000002,970062.2000000004,-0.03535419999999945
2022-05-26-10:05,0.9820894000000001,982089.4000000005,-0.03535419999999945
2022-05-26-10:10,0.9987662000000002,998766.2000000004,-0.03535419999999945
2022-05-26-10:15,0.9912101000000002,991210.1000000004,-0.03535419999999945
2022-05-26-10:20,0.9881867000000003,988186.7000000005,-0.03535419999999945
2022-05-26-10:25,0.9810766000000002,981076.6000000004,-0.03535419999999945
2022-05-26-10:30,0.9960974000000002,996097.4000000004,-0.03535419999999945
2022-05-26-10:35,0.9949928000000003,994992.8000000004,-0.03535419999999945
2022-05-26-10:40,0.9634388000000005,963438.8000000004,-0.04197759999999917
2022-05-26-10:45,0.9678073000000006,967807.3000000004,-0.04197759999999917
2022-05-26-10:50,0.9723799000000007,972379.9000000005,-0.04197759999999917
2022-05-26-10:55,0.9831622000000008,983162.2000000004,-0.04197759999999917
2022-05-26-11:00,0.9819925000000007,981992.5000000003,-0.04197759999999917
2022-05-26-11:05,0.9851825000000007,985182.5000000003,-0.04197759999999917
2022-05-26-11:10,0.9751023000000008,975102.3000000004,-0.04197759999999917
2022-05-26-11:15,0.9868577000000008,986857.7000000004,-0.04197759999999917
2022-05-26-11:20,0.9750450000000008,975045.0000000003,-0.04197759999999917
2022-05-26-11:25,0.983251700000001,983251.7000000004,-0.04197759999999917
2022-05-26-11:30,0.9740115000000008,974011.5000000003,-0.04197759999999917
2022-05-26-13:05,0.9754823000000007,975482.3000000003,-0.04197759999999917
2022-05-26-13:10,0.9867712000000006,986771.2000000002,-0.04197759999999917
2022-05-26-13:15,0.9813976000000008,981397.6000000002,-0.04197759999999917
2022-05-26-13:20,0.9872660000000008,987266.0000000001,-0.04197759999999917
2022-05-26-13:25,0.9899509000000009,989950.9000000001,-0.04197759999999917
2022-05-26-13:30,0.9886090000000008,988609.0000000001,-0.04197759999999917
2022-05-26-13:35,0.9735780000000007,973578.0000000001,-0.04197759999999917
2022-05-26-13:40,0.9622807000000008,962280.7000000001,-0.04313569999999889
2022-05-26-13:45,0.9592681000000007,959268.1,-0.04614829999999892
2022-05-26-13:50,0.9632399000000008,963239.9,-0.04614829999999892
2022-05-26-13:55,0.9533299000000007,953329.8999999999,-0.052086499999998925
2022-05-26-14:00,0.9594811000000008,959481.1,-0.052086499999998925
2022-05-26-14:05,0.9518451000000008,951845.1,-0.05357129999999888
2022-05-26-14:10,0.9529525000000009,952952.5000000001,-0.05357129999999888
2022-05-26-14:15,0.9632078000000007,963207.8,-0.05357129999999888
2022-05-26-14:20,0.9545424000000007,954542.4,-0.05357129999999888
2022-05-26-14:25,0.9519798000000007,951979.8,-0.05357129999999888
2022-05-26-14:30,0.9568138000000006,956813.8,-0.05357129999999888
2022-05-26-14:35,0.9574290000000008,957429.0000000001,-0.05357129999999888
2022-05-26-14:40,0.9488823000000008,948882.3000000002,-0.05653409999999881
2022-05-26-14:45,0.954972300000001,954972.3000000002,-0.05653409999999881
2022-05-26-14:50,0.950541300000001,950541.3000000002,-0.05653409999999881
2022-05-26-14:55,0.949963000000001,949963.0000000001,-0.05653409999999881
2022-05-26-15:00,0.949468200000001,949468.2000000001,-0.05653409999999881
2022-05-27-09:35,0.947631400000001,947631.4000000001,-0.05778499999999864
2022-05-27-09:40,0.9347786000000009,934778.6000000001,-0.07063779999999875
2022-05-27-09:45,0.9465233000000008,946523.2999999999,-0.07063779999999875
2022-05-27-09:50,0.9457481000000009,945748.0999999999,-0.07063779999999875
2022-05-27-09:55,0.954046200000001,954046.2,-0.07063779999999875
2022-05-27-10:00,0.9500727000000011,950072.7000000001,-0.07063779999999875
2022-05-27-10:05,0.9402077000000011,940207.7000000001,-0.07063779999999875
2022-05-27-10:10,0.958641600000001,958641.6,-0.07063779999999875
2022-05-27-10:15,0.957099200000001,957099.2000000001,-0.07063779999999875
2022-05-27-10:20,0.955102000000001,955102.0,-0.07063779999999875
2022-05-27-10:25,0.950437400000001,950437.4,-0.07063779999999875
2022-05-27-10:30,0.942147800000001,942147.8,-0.07063779999999875
2022-05-27-10:35,0.935705600000001,935705.6000000001,-0.07063779999999875
2022-05-27-10:40,0.9333224000000011,933322.4000000001,-0.07209399999999855
2022-05-27-10:45,0.928218600000001,928218.6000000001,-0.07719779999999865
2022-05-27-10:50,0.925074300000001,925074.3,-0.08034209999999864
2022-05-27-10:55,0.9264057000000012,926405.7000000001,-0.08034209999999864
2022-05-27-11:00,0.9403053000000011,940305.3,-0.08034209999999864
2022-05-27-11:05,0.938354800000001,938354.8,-0.08034209999999864
2022-05-27-11:10,0.924683000000001,924683.0,-0.08073339999999862
2022-05-27-11:15,0.9364711000000011,936471.1,-0.08073339999999862
2022-05-27-11:20,0.9324899000000012,932489.9,-0.08073339999999862
2022-05-27-11:25,0.9381866000000012,938186.6,-0.08073339999999862
2022-05-27-11:30,0.9303523000000011,930352.2999999999,-0.08073339999999862
2022-05-27-13:05,0.9206023000000012,920602.2999999999,-0.08481409999999845
2022-05-27-13:10,0.9352023000000014,935202.3,-0.08481409999999845
2022-05-27-13:15,0.9337460000000014,933746.0000000001,-0.08481409999999845
2022-05-27-13:20,0.9320097000000014,932009.7000000002,-0.08481409999999845
2022-05-27-13:25,0.9287547000000015,928754.7000000002,-0.08481409999999845
2022-05-27-13:30,0.9321071000000015,932107.1000000001,-0.08481409999999845
2022-05-27-13:35,0.9379233000000015,937923.3,-0.08481409999999845
2022-05-27-13:40,0.9320132000000014,932013.2000000001,-0.08481409999999845
2022-05-27-13:45,0.9278853000000014,927885.3,-0.08481409999999845
2022-05-27-13:50,0.9293084000000011,929308.4,-0.08481409999999845
2022-05-27-13:55,0.926152700000001,926152.7,-0.08481409999999845
2022-05-27-14:00,0.929707400000001,929707.3999999999,-0.08481409999999845
2022-05-27-14:05,0.925920600000001,925920.6,-0.08481409999999845
2022-05-27-14:10,0.934990600000001,934990.6,-0.08481409999999845
2022-05-27-14:15,0.9391527000000011,939152.7,-0.08481409999999845
2022-05-27-14:20,0.9381969000000011,938196.8999999999,-0.08481409999999845
2022-05-27-14:25,0.9355009000000012,935500.8999999999,-0.08481409999999845
2022-05-27-14:30,0.9344857000000012,934485.7,-0.08481409999999845
2022-05-27-14:35,0.9358757000000013,935875.7,-0.08481409999999845
2022-05-27-14:40,0.9249611000000013,924961.0999999999,-0.08481409999999845
2022-05-27-14:45,0.9141127000000013,914112.7,-0.09130369999999832
2022-05-27-14:50,0.9146717000000015,914671.7,-0.09130369999999832
2022-05-27-14:55,0.9188858000000015,918885.7999999999,-0.09130369999999832
2022-05-27-15:00,0.9081888000000016,908188.8,-0.09722759999999808
2022-05-30-09:35,0.8945318000000015,894531.8,-0.11088459999999811
2022-05-30-09:40,0.9178671000000017,917867.1000000001,-0.11088459999999811
2022-05-30-09:45,0.9132624000000017,913262.4000000001,-0.11088459999999811
2022-05-30-09:50,0.9049938000000017,904993.8000000002,-0.11088459999999811
2022-05-30-09:55,0.9162528000000018,916252.8000000002,-0.11088459999999811
2022-05-30-10:00,0.9155667000000017,915566.7000000001,-0.11088459999999811
2022-05-30-10:05,0.9186502000000019,918650.2000000002,-0.11088459999999811
2022-05-30-10:10,0.9084391000000017,908439.1000000001,-0.11088459999999811
2022-05-30-10:15,0.9163759000000018,916375.9000000001,-0.11088459999999811
2022-05-30-10:20,0.9092232000000018,909223.2000000001,-0.11088459999999811
2022-05-30-10:25,0.9075135000000017,907513.5000000001,-0.11088459999999811
2022-05-30-10:30,0.9036855000000017,903685.5000000001,-0.11088459999999811
2022-05-30-10:35,0.9085520000000017,908552.0000000001,-0.11088459999999811
2022-05-30-10:40,0.9056278000000018,905627.8000000002,-0.11088459999999811
2022-05-30-10:45,0.9063901000000016,906390.1000000001,-0.11088459999999811
2022-05-30-10:50,0.9108978000000016,910897.8000000002,-0.11088459999999811
2022-05-30-10:55,0.8979718000000015,897971.8000000002,-0.11088459999999811
2022-05-30-11:00,0.8911363000000014,891136.3,-0.11428009999999822
2022-05-30-11:05,0.8889544000000015,888954.4,-0.11646199999999818
2022-05-30-11:10,0.8877076000000015,887707.6000000001,-0.11770879999999817
2022-05-30-11:15,0.8907832000000016,890783.2000000002,-0.11770879999999817
2022-05-30-11:20,0.8872032000000014,887203.2000000001,-0.11821319999999824
2022-05-30-11:25,0.8874821000000014,887482.1000000001,-0.11821319999999824
2022-05-30-11:30,0.8872554000000014,887255.4000000001,-0.11821319999999824
2022-05-30-13:05,0.8910265000000014,891026.5000000001,-0.11821319999999824
2022-05-30-13:10,0.8865011000000014,886501.1000000001,-0.11891529999999828
2022-05-30-13:15,0.8874934000000013,887493.4000000001,-0.11891529999999828
2022-05-30-13:20,0.8873386000000013,887338.6000000001,-0.11891529999999828
2022-05-30-13:25,0.8830778000000012,883077.8000000002,-0.12233859999999841
2022-05-30-13:30,0.8851165000000012,885116.5000000002,-0.12233859999999841
2022-05-30-13:35,0.8877244000000011,887724.4000000001,-0.12233859999999841
2022-05-30-13:40,0.8803875000000011,880387.5000000002,-0.12502889999999856
2022-05-30-13:45,0.8747165000000011,874716.5000000002,-0.13069989999999854
2022-05-30-13:50,0.8789589000000011,878958.9000000003,-0.13069989999999854
2022-05-30-13:55,0.8861182000000012,886118.2000000002,-0.13069989999999854
2022-05-30-14:00,0.8791485000000012,879148.5000000002,-0.13069989999999854
2022-05-30-14:05,0.8789825000000013,878982.5000000005,-0.13069989999999854
2022-05-30-14:10,0.8785013000000014,878501.3000000004,-0.13069989999999854
2022-05-30-14:15,0.8786749000000013,878674.9000000004,-0.13069989999999854
2022-05-30-14:20,0.8714229000000013,871422.9000000004,-0.13399349999999832
2022-05-30-14:25,0.8729298000000014,872929.8000000004,-0.13399349999999832
2022-05-30-14:30,0.8726197000000014,872619.7000000004,-0.13399349999999832
2022-05-30-14:35,0.8691872000000014,869187.2000000003,-0.13622919999999827
2022-05-30-14:40,0.8744277000000014,874427.7000000003,-0.13622919999999827
2022-05-30-14:45,0.8729255000000014,872925.5000000002,-0.13622919999999827
2022-05-30-14:50,0.8764212000000013,876421.2000000003,-0.13622919999999827
2022-05-30-14:55,0.8745171000000014,874517.1000000003,-0.13622919999999827
2022-05-30-15:00,0.8769247000000014,876924.7000000003,-0.13622919999999827
2022-05-31-09:35,0.8725834000000015,872583.4000000004,-0.13622919999999827
2022-05-31-09:40,0.8729573000000016,872957.3000000004,-0.13622919999999827
2022-05-31-09:45,0.8831972000000016,883197.2000000003,-0.13622919999999827
2022-05-31-09:50,0.8885678000000016,888567.8000000002,-0.13622919999999827
2022-05-31-09:55,0.8847617000000015,884761.7000000002,-0.13622919999999827
2022-05-31-10:00,0.8937719000000016,893771.9000000003,-0.13622919999999827
2022-05-31-10:05,0.8825129000000017,882512.9000000004,-0.13622919999999827
2022-05-31-10:10,0.8902482000000016,890248.2000000003,-0.13622919999999827
2022-05-31-10:15,0.8808951000000016,880895.1000000003,-0.13622919999999827
2022-05-31-10:20,0.8870791000000015,887079.1000000003,-0.13622919999999827
2022-05-31-10:25,0.8838712000000013,883871.2000000002,-0.13622919999999827
2022-05-31-10:30,0.8843985000000013,884398.5000000002,-0.13622919999999827
2022-05-31-10:35,0.8879937000000011,887993.7000000001,-0.13622919999999827
2022-05-31-10:40,0.8841833000000011,884183.3,-0.13622919999999827
2022-05-31-10:45,0.8891435000000012,889143.5000000002,-0.13622919999999827
2022-05-31-10:50,0.8891061000000012,889106.1000000003,-0.13622919999999827
2022-05-31-10:55,0.8940877000000013,894087.7000000003,-0.13622919999999827
2022-05-31-11:00,0.9007595000000014,900759.5000000003,-0.13622919999999827
2022-05-31-11:05,0.8809953000000014,880995.3000000004,-0.13622919999999827
2022-05-31-11:10,0.9013493000000015,901349.3000000005,-0.13622919999999827
2022-05-31-11:15,0.8994715000000014,899471.5000000006,-0.13622919999999827
2022-05-31-11:20,0.9073491000000015,907349.1000000007,-0.13622919999999827
2022-05-31-11:25,0.9048379000000013,904837.9000000005,-0.13622919999999827
2022-05-31-11:30,0.8974725000000013,897472.5000000005,-0.13622919999999827
2022-05-31-13:05,0.9047901000000014,904790.1000000006,-0.13622919999999827
2022-05-31-13:10,0.9207813000000014,920781.3000000006,-0.13622919999999827
2022-05-31-13:15,0.9177709000000013,917770.9000000006,-0.13622919999999827
2022-05-31-13:20,0.9158741000000012,915874.1000000006,-0.13622919999999827
2022-05-31-13:25,0.9079461000000012,907946.1000000006,-0.13622919999999827
2022-05-31-13:30,0.9082801000000011,908280.1000000006,-0.13622919999999827
2022-05-31-13:35,0.9094594000000014,909459.4000000007,-0.13622919999999827
2022-05-31-13:40,0.9113763000000012,911376.3000000006,-0.13622919999999827
2022-05-31-13:45,0.9064410000000013,906441.0000000006,-0.13622919999999827
2022-05-31-13:50,0.9017454000000014,901745.4000000006,-0.13622919999999827
2022-05-31-13:55,0.9131688000000012,913168.8000000005,-0.13622919999999827
2022-05-31-14:00,0.9061486000000012,906148.6000000004,-0.13622919999999827
2022-05-31-14:05,0.9047510000000012,904751.0000000005,-0.13622919999999827
2022-05-31-14:10,0.9001786000000012,900178.6000000004,-0.13622919999999827
2022-05-31-14:15,0.9036376000000012,903637.6000000003,-0.13622919999999827
2022-05-31-14:20,0.9084000000000013,908400.0000000003,-0.13622919999999827
2022-05-31-14:25,0.8997840000000011,899784.0000000002,-0.13622919999999827
2022-05-31-14:30,0.9036691000000012,903669.1000000002,-0.13622919999999827
2022-05-31-14:35,0.9043705000000014,904370.5000000002,-0.13622919999999827
2022-05-31-14:40,0.9012353000000013,901235.3000000002,-0.13622919999999827
2022-05-31-14:45,0.9109532000000012,910953.2000000002,-0.13622919999999827
2022-05-31-14:50,0.9056112000000013,905611.2000000002,-0.13622919999999827
2022-05-31-14:55,0.8995227000000012,899522.7000000002,-0.13622919999999827
2022-05-31-15:00,0.8946206000000012,894620.6000000002,-0.13622919999999827
2022-06-01-09:35,0.9152722000000012,915272.2000000001,-0.13622919999999827
2022-06-01-09:40,0.9012115000000012,901211.5000000001,-0.13622919999999827
2022-06-01-09:45,0.8905390000000013,890539.0000000003,-0.13622919999999827
2022-06-01-09:50,0.9048530000000012,904853.0000000003,-0.13622919999999827
2022-06-01-09:55,0.8952176000000013,895217.6000000003,-0.13622919999999827
2022-06-01-10:00,0.8910280000000013,891028.0000000003,-0.13622919999999827
2022-06-01-10:05,0.8964964000000012,896496.4000000004,-0.13622919999999827
2022-06-01-10:10,0.8876915000000013,887691.5000000005,-0.13622919999999827
2022-06-01-10:15,0.8961657000000012,896165.7000000004,-0.13622919999999827
2022-06-01-10:20,0.8924005000000013,892400.5000000005,-0.13622919999999827
2022-06-01-10:25,0.8984868000000013,898486.8000000004,-0.13622919999999827
2022-06-01-10:30,0.8911624000000014,891162.4000000005,-0.13622919999999827
2022-06-01-10:35,0.8912036000000013,891203.6000000004,-0.13622919999999827
2022-06-01-10:40,0.8995652000000013,899565.2000000004,-0.13622919999999827
2022-06-01-10:45,0.8979377000000013,897937.7000000004,-0.13622919999999827
2022-06-01-10:50,0.8881852000000012,888185.2000000004,-0.13622919999999827
2022-06-01-10:55,0.8901299000000014,890129.9000000005,-0.13622919999999827
2022-06-01-11:00,0.8902621000000013,890262.1000000006,-0.13622919999999827
2022-06-01-11:05,0.8880893000000012,888089.3000000005,-0.13622919999999827
2022-06-01-11:10,0.8885003000000012,888500.3000000006,-0.13622919999999827
2022-06-01-11:15,0.8838856000000013,883885.6000000007,-0.13622919999999827
2022-06-01-11:20,0.8801181000000013,880118.1000000008,-0.13622919999999827
2022-06-01-11:25,0.8727617000000014,872761.7000000008,-0.13622919999999827
2022-06-01-11:30,0.8792582000000013,879258.2000000007,-0.13622919999999827
2022-06-01-13:05,0.8767397000000015,876739.7000000007,-0.13622919999999827
