,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,0.0027173376301698558,1002717.3376301698,0.0
2022-05-26-09:45,0.002682206530728365,1002682.1110676698,-3.5131099441490943e-05
2022-05-26-09:50,0.0026033005828269553,1002602.9934852523,-0.00011403704734290043
2022-05-26-09:55,0.002453690018152129,1002452.9934852523,-0.00026364761201772696
2022-05-26-10:00,0.002453690018152129,1002452.9934852523,-0.00026364761201772696
2022-05-26-10:05,0.002806477342503417,1002806.6461946119,-0.00026364761201772696
2022-05-26-10:10,0.002804981540689885,1002805.1461946119,-0.00026364761201772696
2022-05-26-10:15,0.00318701484755288,1003188.2511607519,-0.00026364761201772696
2022-05-26-10:20,0.003257461159966731,1003258.9220737031,-0.00026364761201772696
2022-05-26-10:25,0.004025113790431835,1004029.0764242706,-0.00026364761201772696
2022-05-26-10:30,0.004385769813674382,1004391.1855581937,-0.00026364761201772696
2022-05-26-10:35,0.0040100424018455275,1004013.8082575803,-0.0003757274118288542
2022-05-26-10:40,0.003826848634337337,1003829.8791854153,-0.0005589211793370448
2022-05-26-10:45,0.0039035262210108906,1003906.8504379821,-0.0005589211793370448
2022-05-26-10:50,0.0039020320584804273,1003905.3504379821,-0.0005589211793370448
2022-05-26-10:55,0.006611453272916134,1006625.3528917443,-0.0005589211793370448
2022-05-26-11:00,0.006624833783268903,1006638.8220527001,-0.0005589211793370448
2022-05-26-11:05,0.007576012935252203,1007596.3159138137,-0.0005589211793370448
2022-05-26-11:10,0.008248537827662949,1008273.9495177671,-0.0005589211793370448
2022-05-26-11:15,0.00680791604746234,1006821.4081056829,-0.0014406217802006085
2022-05-26-11:20,0.006188255406114504,1006197.5205062134,-0.0020602824215484447
2022-05-26-11:25,0.00731360248089763,1007329.8419425691,-0.0020602824215484447
2022-05-26-11:30,0.007656284269912919,1007675.0355349345,-0.0020602824215484447
2022-05-26-13:05,0.00864208031917019,1008668.3976039,-0.0020602824215484447
2022-05-26-13:10,0.007950825151319778,1007971.150361409,-0.0020602824215484447
2022-05-26-13:15,0.00815866191781048,1008180.643826016,-0.0020602824215484447
2022-05-26-13:20,0.008420446565546197,1008444.570040714,-0.0020602824215484447
2022-05-26-13:25,0.008757142066803439,1008784.108790714,-0.0020602824215484447
2022-05-26-13:30,0.008520412380243605,1008545.2996448334,-0.0020602824215484447
2022-05-26-13:35,0.008518925089587917,1008543.7996448334,-0.0020602824215484447
2022-05-26-13:40,0.008883589478359925,1008911.5796530807,-0.0020602824215484447
2022-05-26-13:45,0.010425352080977689,1010467.0817959378,-0.0020602824215484447
2022-05-26-13:50,0.010044218039736439,1010081.9583935117,-0.0020602824215484447
2022-05-26-13:55,0.011199113743520213,1011248.4977077299,-0.0020602824215484447
