,cumulative_return,cumulative_capital,maxdd
2022-05-25-09:40,1.0,1000000.0,0.0
2022-05-25-09:45,0.9992668,999266.8,-0.0007331999999999894
2022-05-25-09:50,0.9953304000000001,995330.4,-0.0046695999999999405
2022-05-25-09:55,0.9942104,994210.4,-0.00578959999999995
2022-05-25-10:00,0.9963825000000001,996382.5,-0.00578959999999995
2022-05-25-10:05,0.9960540000000001,996054.0,-0.00578959999999995
2022-05-25-10:10,0.9990496,999049.6,-0.00578959999999995
2022-05-25-10:15,0.996852,996851.9999999999,-0.00578959999999995
2022-05-25-10:20,0.996823,996822.9999999999,-0.00578959999999995
2022-05-25-10:25,0.9966918,996691.7999999999,-0.00578959999999995
2022-05-25-10:30,0.9947252,994725.2,-0.00578959999999995
2022-05-25-10:35,0.9956489000000001,995648.9,-0.00578959999999995
2022-05-25-10:40,0.9964262999999999,996426.2999999999,-0.00578959999999995
2022-05-25-10:45,0.9968009999999998,996801.0,-0.00578959999999995
2022-05-25-10:50,0.9938666999999999,993866.7000000001,-0.006133300000000119
2022-05-25-10:55,0.9967333999999998,996733.4,-0.006133300000000119
2022-05-25-11:00,0.9960593999999997,996059.4,-0.006133300000000119
2022-05-25-11:05,0.9948550999999997,994855.1,-0.006133300000000119
2022-05-25-11:10,0.9972457999999998,997245.8,-0.006133300000000119
2022-05-25-11:15,0.9952014999999997,995201.5,-0.006133300000000119
2022-05-25-11:20,0.9960974999999999,996097.5,-0.006133300000000119
2022-05-25-11:25,0.9941388999999998,994138.9,-0.006133300000000119
2022-05-25-11:30,0.9964382999999998,996438.3,-0.006133300000000119
2022-05-25-13:05,0.9958596999999998,995859.7000000001,-0.006133300000000119
2022-05-25-13:10,0.9949538999999997,994953.9,-0.006133300000000119
2022-05-25-13:15,0.9993806999999997,999380.7000000001,-0.006133300000000119
2022-05-25-13:20,0.9952673999999997,995267.4000000001,-0.006133300000000119
2022-05-25-13:25,0.9924160999999997,992416.1000000001,-0.00758390000000031
2022-05-25-13:30,0.9957781999999996,995778.2000000001,-0.00758390000000031
2022-05-25-13:35,0.9946945999999997,994694.6000000001,-0.00758390000000031
2022-05-25-13:40,0.9944419999999996,994442.0000000001,-0.00758390000000031
2022-05-25-13:45,0.9947359999999997,994736.0000000001,-0.00758390000000031
2022-05-25-13:50,0.9968949999999996,996895.0,-0.00758390000000031
2022-05-25-13:55,0.9946169999999996,994617.0,-0.00758390000000031
2022-05-25-14:00,0.9954416999999994,995441.7,-0.00758390000000031
2022-05-25-14:05,0.9960616999999994,996061.7,-0.00758390000000031
2022-05-25-14:10,0.9941338999999995,994133.9,-0.00758390000000031
2022-05-25-14:15,0.9931386999999994,993138.7,-0.00758390000000031
2022-05-25-14:20,0.9929542999999994,992954.2999999999,-0.00758390000000031
2022-05-25-14:25,0.9911875999999994,991187.5999999999,-0.008812400000000609
2022-05-25-14:30,0.9907041999999994,990704.1999999998,-0.009295800000000631
2022-05-25-14:35,0.9942922999999994,994292.2999999998,-0.009295800000000631
